industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","10~","YEARS5","남","1",4233.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","~1","YEARS1","여","2",4307.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","1~3","YEARS2","여","2",7846.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","3~5","YEARS3","여","2",5010.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","5~10","YEARS4","여","2",6375.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","10~","YEARS5","여","2",5005.0
"가죽, 가방 및 신발 제조업","C15","2020","~1","YEARS1","남","1",1537.0
"가죽, 가방 및 신발 제조업","C15","2020","1~3","YEARS2","남","1",1923.0
"가죽, 가방 및 신발 제조업","C15","2020","3~5","YEARS3","남","1",1712.0
"가죽, 가방 및 신발 제조업","C15","2020","5~10","YEARS4","남","1",2049.0
"가죽, 가방 및 신발 제조업","C15","2020","10~","YEARS5","남","1",2174.0
"가죽, 가방 및 신발 제조업","C15","2020","~1","YEARS1","여","2",675.0
"가죽, 가방 및 신발 제조업","C15","2020","1~3","YEARS2","여","2",1930.0
"가죽, 가방 및 신발 제조업","C15","2020","3~5","YEARS3","여","2",1366.0
"가죽, 가방 및 신발 제조업","C15","2020","5~10","YEARS4","여","2",1423.0
"가죽, 가방 및 신발 제조업","C15","2020","10~","YEARS5","여","2",1505.0
"목재 및 나무제품 제조업;가구제외","C16","2020","~1","YEARS1","남","1",4146.0
"목재 및 나무제품 제조업;가구제외","C16","2020","1~3","YEARS2","남","1",4887.0
"목재 및 나무제품 제조업;가구제외","C16","2020","3~5","YEARS3","남","1",3221.0
"목재 및 나무제품 제조업;가구제외","C16","2020","5~10","YEARS4","남","1",3417.0
"목재 및 나무제품 제조업;가구제외","C16","2020","10~","YEARS5","남","1",2597.0
"목재 및 나무제품 제조업;가구제외","C16","2020","~1","YEARS1","여","2",640.0
"목재 및 나무제품 제조업;가구제외","C16","2020","1~3","YEARS2","여","2",1075.0
"목재 및 나무제품 제조업;가구제외","C16","2020","3~5","YEARS3","여","2",821.0
"목재 및 나무제품 제조업;가구제외","C16","2020","5~10","YEARS4","여","2",718.0
"목재 및 나무제품 제조업;가구제외","C16","2020","10~","YEARS5","여","2",479.0
"펄프, 종이 및 종이제품 제조업","C17","2020","~1","YEARS1","남","1",7339.0
"펄프, 종이 및 종이제품 제조업","C17","2020","1~3","YEARS2","남","1",12945.0
"펄프, 종이 및 종이제품 제조업","C17","2020","3~5","YEARS3","남","1",8902.0
"펄프, 종이 및 종이제품 제조업","C17","2020","5~10","YEARS4","남","1",10214.0
"펄프, 종이 및 종이제품 제조업","C17","2020","10~","YEARS5","남","1",16379.0
"펄프, 종이 및 종이제품 제조업","C17","2020","~1","YEARS1","여","2",817.0
"펄프, 종이 및 종이제품 제조업","C17","2020","1~3","YEARS2","여","2",2943.0
"펄프, 종이 및 종이제품 제조업","C17","2020","3~5","YEARS3","여","2",1701.0
"펄프, 종이 및 종이제품 제조업","C17","2020","5~10","YEARS4","여","2",3411.0
"펄프, 종이 및 종이제품 제조업","C17","2020","10~","YEARS5","여","2",2528.0
"인쇄 및 기록매체 복제업","C18","2020","~1","YEARS1","남","1",4798.0
"인쇄 및 기록매체 복제업","C18","2020","1~3","YEARS2","남","1",6618.0
"인쇄 및 기록매체 복제업","C18","2020","3~5","YEARS3","남","1",5110.0
"인쇄 및 기록매체 복제업","C18","2020","5~10","YEARS4","남","1",5071.0
"인쇄 및 기록매체 복제업","C18","2020","10~","YEARS5","남","1",5351.0
"인쇄 및 기록매체 복제업","C18","2020","~1","YEARS1","여","2",1209.0
"인쇄 및 기록매체 복제업","C18","2020","1~3","YEARS2","여","2",3246.0
"인쇄 및 기록매체 복제업","C18","2020","3~5","YEARS3","여","2",1392.0
