year,geo_name,geo,industry_name,industry,EMP_DD_5,EMP_DD_6
"2014","전국","01000KR","종합 건설업","F41",3141.0,0.8
"2014","전국","01000KR","전문직별 공사업","F42",8767.0,1.6
"2014","전국","01000KR","도매 및 소매업","G",23896.0,2.6
"2014","전국","01000KR","자동차 및 부품 판매업","G45",1561.0,3.4
"2014","전국","01000KR","도매 및 상품중개업","G46",13864.0,2.5
"2014","전국","01000KR","소매업; 자동차 제외","G47",8470.0,2.6
"2014","전국","01000KR","운수업","H",32453.0,5.5
"2014","전국","01000KR","육상운송 및 파이프라인 운송업","H49",28600.0,7.7
"2014","전국","01000KR","수상 운송업","H50",436.0,2.4
"2014","전국","01000KR","항공 운송업","H51",1188.0,4.4
"2014","전국","01000KR","창고 및 운송관련 서비스업","H52",2229.0,1.3
"2014","전국","01000KR","숙박 및 음식점업","I",19311.0,6.0
"2014","전국","01000KR","숙박업","I55",2933.0,4.7
"2014","전국","01000KR","음식점 및 주점업","I56",16378.0,6.4
"2014","전국","01000KR","출판, 영상, 방송통신 및 정보서비스업","J",11506.0,2.5
"2014","전국","01000KR","출판업","J58",7411.0,3.9
"2014","전국","01000KR","영상·오디오 기록물 제작 및 배급업","J59",541.0,1.8
"2014","전국","01000KR","방송업","J60",329.0,1.2
"2014","전국","01000KR","통신업","J61",447.0,0.5
"2014","전국","01000KR","컴퓨터 프로그래밍, 시스템 통합 및 관리업","J62",1989.0,2.2
"2014","전국","01000KR","정보서비스업","J63",788.0,2.0
"2014","전국","01000KR","금융 및 보험업","K",7063.0,1.5
"2014","전국","01000KR","금융업","K64",2417.0,1.0
"2014","전국","01000KR","보험 및 연금업","K65",530.0,0.5
"2014","전국","01000KR","금융 및 보험 관련 서비스업","K66",4116.0,3.6
"2014","전국","01000KR","부동산업 및 임대업","L",2940.0,1.2
"2014","전국","01000KR","부동산업","L68",1994.0,0.9
"2014","전국","01000KR","임대업(부동산 제외)","L69",947.0,5.7
"2014","전국","01000KR","전문, 과학 및 기술 서비스업","M",13089.0,2.0
"2014","전국","01000KR","연구개발업","M70",2046.0,1.5
"2014","전국","01000KR","전문서비스업","M71",6119.0,2.2
"2014","전국","01000KR","건축기술, 엔지니어링 및 기타 과학기술 서비스업","M72",4598.0,2.1
"2014","전국","01000KR","기타 전문, 과학 및 기술 서비스업","M73",325.0,1.5
"2014","전국","01000KR","사업시설관리 및 사업지원 서비스업","N",20640.0,2.4
"2014","전국","01000KR","사업시설 관리 및 조경 서비스업","N74",5347.0,2.2
"2014","전국","01000KR","사업지원 서비스업","N75",15293.0,2.5
"2014","전국","01000KR","교육 서비스업","P",10817.0,1.0
"2014","전국","01000KR","교육 서비스업","P85",10817.0,1.0
"2014","전국","01000KR","보건업 및 사회복지 서비스업","Q",20908.0,2.2
"2014","전국","01000KR","보건업","Q86",12935.0,2.2
"2014","전국","01000KR","사회복지 서비스업","Q87",7972.0,2.2
"2014","전국","01000KR","예술, 스포츠 및 여가관련 서비스업","R",3759.0,2.5
"2014","전국","01000KR","창작, 예술 및 여가관련 서비스업","R90",2398.0,5.5
"2014","전국","01000KR","스포츠 및 오락관련 서비스업","R91",1361.0,1.3
"2014","전국","01000KR","협회 및 단체, 수리  및 기타 개인 서비스업","S",7401.0,2.6
"2014","전국","01000KR","협회 및 단체","S94",1496.0,1.8
"2014","전국","01000KR","수리업","S95",2569.0,2.3
"2014","전국","01000KR","기타 개인 서비스업","S96",3336.0,3.8
"2015","전국","01000KR","전체","0",269549.0,2.4
"2015","전국","01000KR","광업","B",149.0,1.2
"2015","전국","01000KR","석탄, 원유 및 천연가스 광업","B05",0.0,0.0
"2015","전국","01000KR","금속 광업","B06",0.0,0.0
"2015","전국","01000KR","비금속광물 광업;연료용 제외","B07",149.0,1.7
"2015","전국","01000KR","광업 지원 서비스업","B08",0.0,0.0
"2015","전국","01000KR","제조업","C",75106.0,2.4
"2015","전국","01000KR","식료품 제조업","C10",7080.0,3.7
"2015","전국","01000KR","음료 제조업","C11",138.0,1.6
"2015","전국","01000KR","담배 제조업","C12",15.0,0.7
"2015","전국","01000KR","섬유제품 제조업; 의복제외","C13",2620.0,2.5
"2015","전국","01000KR","의복, 의복액세서리 및 모피제품 제조업","C14",1394.0,2.0
"2015","전국","01000KR","가죽, 가방 및 신발 제조업","C15",518.0,3.0
"2015","전국","01000KR","목재 및 나무제품 제조업;가구제외","C16",681.0,3.2
"2015","전국","01000KR","펄프, 종이 및 종이제품 제조업","C17",1654.0,2.7
"2015","전국","01000KR","인쇄 및 기록매체 복제업","C18",1459.0,4.2
"2015","전국","01000KR","코크스, 연탄 및 석유정제품 제조업","C19",40.0,0.4
"2015","전국","01000KR","화학물질 및 화학제품 제조업;의약품 제외","C20",3114.0,2.2
"2015","전국","01000KR","의료용 물질 및 의약품 제조업","C21",295.0,0.9
"2015","전국","01000KR","고무제품 및 플라스틱제품 제조업","C22",7111.0,3.0
"2015","전국","01000KR","비금속 광물제품 제조업","C23",1836.0,2.0
"2015","전국","01000KR","1차 금속 제조업","C24",2557.0,1.7
"2015","전국","01000KR","금속가공제품 제조업;기계 및 가구 제외","C25",11546.0,3.6
"2015","전국","01000KR","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26",4524.0,1.0
"2015","전국","01000KR","의료, 정밀, 광학기기 및 시계 제조업","C27",2738.0,3.2
"2015","전국","01000KR","전기장비 제조업","C28",4648.0,2.5
"2015","전국","01000KR","기타 기계 및 장비 제조업","C29",10091.0,2.8
"2015","전국","01000KR","자동차 및 트레일러 제조업","C30",4756.0,1.4
"2015","전국","01000KR","기타 운송장비 제조업","C31",3961.0,2.1
"2015","전국","01000KR","가구 제조업","C32",1543.0,4.1
"2015","전국","01000KR","기타 제품 제조업","C33",785.0,2.6
"2015","전국","01000KR","전기, 가스, 증기 및 수도사업","D",269.0,0.5
"2015","전국","01000KR","전기, 가스, 증기 및 공기조절 공급업","D35",244.0,0.5
"2015","전국","01000KR","수도사업","D36",25.0,0.5
"2015","전국","01000KR","하수·폐기물 처리, 원료재생 및 환경복원업","E",1114.0,1.7
"2015","전국","01000KR","하수, 폐수 및 분뇨 처리업","E37",81.0,0.8
"2015","전국","01000KR","폐기물 수집운반, 처리 및 원료재생업","E38",1030.0,2.0
"2015","전국","01000KR","환경 정화 및 복원업","E39",4.0,0.4
"2015","전국","01000KR","건설업","F",16628.0,1.9
"2015","전국","01000KR","종합 건설업","F41",5595.0,1.7
"2015","전국","01000KR","전문직별 공사업","F42",11033.0,2.0
"2015","전국","01000KR","도매 및 소매업","G",24785.0,2.5
"2015","전국","01000KR","자동차 및 부품 판매업","G45",821.0,1.8
"2015","전국","01000KR","도매 및 상품중개업","G46",15952.0,2.7
"2015","전국","01000KR","소매업; 자동차 제외","G47",8012.0,2.4
"2015","전국","01000KR","운수업","H",32555.0,5.6
"2015","전국","01000KR","육상운송 및 파이프라인 운송업","H49",28543.0,7.9
"2015","전국","01000KR","수상 운송업","H50",258.0,1.6
"2015","전국","01000KR","항공 운송업","H51",1683.0,5.9
"2015","전국","01000KR","창고 및 운송관련 서비스업","H52",2072.0,1.2
"2015","전국","01000KR","숙박 및 음식점업","I",19160.0,5.8
"2015","전국","01000KR","숙박업","I55",2088.0,3.2
"2015","전국","01000KR","음식점 및 주점업","I56",17072.0,6.4
"2015","전국","01000KR","출판, 영상, 방송통신 및 정보서비스업","J",10576.0,2.4
"2015","전국","01000KR","출판업","J58",5935.0,2.9
