,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,위도,경도
49,한국전력,고양지사,4,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
50,한국전력,고양지사,5,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
51,한국전력,고양지사,6,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
52,한국전력,고양지사,7,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
53,한국전력,고양지사,8,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
54,한국전력,고양지사,9,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
55,한국전력,능곡2차 현대홈타운아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 토당동 능곡로13번길 16,입주자외 출입제한 (긴급상황 이용가능),양구 토당동 능곡로13번길 16,37.62194399,126.8207258
56,한국전력,동양라파크 아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 덕이동 탄중로 101,입주자외 출입제한 (긴급상황 이용가능),산서구 덕이동 탄중로 101,37.69260629,126.7564005
57,한국전력,동양라파크 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 덕이동 탄중로 101,입주자외 출입제한 (긴급상황 이용가능),산서구 덕이동 탄중로 101,37.69260629,126.7564005
58,한국전력,백마4단지한양청구아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 마두동 734,입주자외 출입제한 (긴급상황 이용가능),산동구 마두동 734,37.65611272,126.7933558
59,한국전력,백마역중앙하이츠빌1아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 고일로 171,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 고일로 171,37.65901303,126.8019454
60,한국전력,백마역중앙하이츠빌1아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 고일로 171,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 고일로 171,37.65901303,126.8019454
61,한국전력,백송7임광,1,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 175,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 175,37.65187435,126.7956963
62,한국전력,백송7임광,2,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 175,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 175,37.65187435,126.7956963
63,한국전력,백송8단지선경코오롱아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 151지하,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 151지하,37.65074187,126.7929897
64,한국전력,브라운스톤일산,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336,37.63760409,126.7877615
65,한국전력,브라운스톤일산,2,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336,37.63760409,126.7877615
66,한국전력,브라운스톤일산,3,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336,37.63760409,126.7877615
67,한국전력,브라운스톤일산,4,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336,37.63760409,126.7877615
68,한국전력,사리현동문3단지아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 사리현동 공릉천로 66,시설 상황에 따라 이용이 제한될 수 있음,산동구 사리현동 공릉천로 66,37.69857021,126.847286
69,한국전력,산들5단지동문 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30,37.68255531,126.7752486
70,한국전력,산들5단지동문 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30,37.68255531,126.7752486
71,한국전력,산들5단지동문 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30,37.68255531,126.7752486
72,한국전력,산들5단지동문 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30,37.68255531,126.7752486
73,한국전력,샘터마을1단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76,37.62009509,126.8393138
74,한국전력,샘터마을1단지,2,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76,37.62009509,126.8393138
75,한국전력,샘터마을1단지,3,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76,37.62009509,126.8393138
76,한국전력,샘터마을1단지,4,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76,37.62009509,126.8393138
77,한국전력,서정마을6단지 아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 서정로 19,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 서정로 19,37.61714845,126.8515894
78,한국전력,서정마을파크하임휴먼시아 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20,37.61367378,126.8436988
79,한국전력,서정마을파크하임휴먼시아 아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20,37.61367378,126.8436988
80,한국전력,서정마을파크하임휴먼시아 아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20,37.61367378,126.8436988
81,한국전력,성저마을4단지삼익 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263,37.67989106,126.7496292
82,한국전력,성저마을4단지삼익 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263,37.67989106,126.7496292
83,한국전력,성저마을4단지삼익 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263,37.67989106,126.7496292
84,한국전력,숲속마을2단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55,37.6661102,126.7995322
85,한국전력,숲속마을2단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55,37.6661102,126.7995322
86,한국전력,숲속마을2단지,3,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55,37.6661102,126.7995322
87,한국전력,숲속마을2단지,4,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55,37.6661102,126.7995322
88,한국전력,숲속마을2단지,5,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55,37.6661102,126.7995322
89,한국전력,숲속마을6단지 두산위브,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68,37.66838172,126.7956305
90,한국전력,숲속마을6단지 두산위브,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68,37.66838172,126.7956305
91,한국전력,숲속마을6단지 두산위브,3,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68,37.66838172,126.7956305
92,한국전력,숲속마을6단지 두산위브,4,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68,37.66838172,126.7956305
93,한국전력,식사동 일산자이2단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
94,한국전력,식사동 일산자이2단지 아파트,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
95,한국전력,식사동 일산자이2단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
96,한국전력,식사동 일산자이2단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
97,한국전력,식사동 일산자이2단지 아파트,5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
