,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
440,차지비,명지1차금강펜테리움센트럴파크,3,AC완속,부산광역시,강서구,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)104동1,2라인 지하",제한없음,35.10072192,128.9186693
441,차지비,명지1차금강펜테리움센트럴파크,4,AC완속,부산광역시,강서구,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)104동1,2라인 지하",제한없음,35.10072192,128.9186693
442,차지비,명지1차금강펜테리움센트럴파크,5,AC완속,부산광역시,강서구,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)104동1,2라인 지하",제한없음,35.10072192,128.9186693
443,차지비,명지롯데캐슬아파트,4,AC완속,부산광역시,강서구,부산광역시 강서구 명지오션시티11로 84 (명지동     롯데캐슬아파트),제한없음,35.08399249,128.9049877
444,차지비,명지오션시티,1,AC완속,부산광역시,강서구,부산광역시 강서구 명지오션시티9로 50 (명지동)(명지동 3229-26),제한없음,35.08781027,128.9020304
445,차지비,명지오션시티,2,AC완속,부산광역시,강서구,부산광역시 강서구 명지오션시티9로 50 (명지동)(명지동 3229-26),제한없음,35.08781027,128.9020304
446,차지비,명지오션시티삼정그린코아,1,AC완속,부산광역시,강서구,"부산광역시 강서구 명지오션시티10로 114 (명지동, 명지오션시티삼정그린코아)107동 34입구",제한없음,35.08633055,128.9081799
447,차지비,명지오션시티삼정그린코아,2,AC완속,부산광역시,강서구,"부산광역시 강서구 명지오션시티10로 114 (명지동, 명지오션시티삼정그린코아)107동 34입구",제한없음,35.08633055,128.9081799
448,차지비,명지오션시티삼정그린코아,3,AC완속,부산광역시,강서구,"부산광역시 강서구 명지오션시티10로 114 (명지동, 명지오션시티삼정그린코아)107동 34입구",제한없음,35.08633055,128.9081799
449,차지비,모라동골든파크,1,AC완속,부산광역시,사상구,부산광역시 사상구 사상로 508 (모라동     모라동골든파크),제한없음,35.18948152,128.9891053
450,차지비,문현동골든벨류빌,1,AC완속,부산광역시,남구,"부산광역시 남구 전포대로77번길 19 (문현동, 골든벨류빌)(765-1 (골든벨류빌))",제한없음,35.1435822,129.0655503
451,차지비,반송동삼한그린타운1차,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 신반송로 171 (반송동     삼한그린타운),제한없음,35.2283609,129.1612205
452,차지비,반송동삼한그린타운1차,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 신반송로 171 (반송동     삼한그린타운),제한없음,35.2283609,129.1612205
453,차지비,반송동삼한그린타운1차,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 신반송로 171 (반송동     삼한그린타운),제한없음,35.2283609,129.1612205
454,차지비,반송동삼한그린타운1차,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 신반송로 171 (반송동     삼한그린타운),제한없음,35.2283609,129.1612205
455,차지비,반송벽산삼협육동,1,AC완속,부산광역시,해운대구,"부산광역시 해운대구 신반송로 29 (반송동, 벽산삼협한솔아파트)106동 지하주차장",제한없음,35.22677964,129.160668
456,차지비,반송벽산삼협한솔101동,1,AC완속,부산광역시,해운대구,"부산광역시 해운대구 신반송로 29 (반송동, 벽산삼협한솔아파트)101동 지하주차장",제한없음,35.22677964,129.160668
457,차지비,반송벽산삼협한솔103동,2,AC완속,부산광역시,해운대구,"부산광역시 해운대구 신반송로 29 (반송동, 벽산삼협한솔아파트)103동 지하주차장",제한없음,35.22677964,129.160668
458,차지비,반송벽산삼협한솔103동,3,AC완속,부산광역시,해운대구,"부산광역시 해운대구 신반송로 29 (반송동, 벽산삼협한솔아파트)103동 지하주차장",제한없음,35.22677964,129.160668
459,차지비,벽산2차아파트,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로299번길 11 (좌동     벽산2차아파트),제한없음,35.16957101,129.1850488
460,차지비,벽산2차아파트,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로299번길 11 (좌동     벽산2차아파트),제한없음,35.16957101,129.1850488
461,차지비,벽산2차아파트,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로299번길 11 (좌동     벽산2차아파트),제한없음,35.16957101,129.1850488
